epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,10203.8,1.22953,2.44918,0.11347,0.75105,1.21711,0.81475,0.82488,0.8193,0.4972,0.73294,0.73873,0.71326,0.47496,1.35976,2.52123,0.01174,0.69943,1.43964,0.000306406,0.000306406,0.000306406
63,10418.4,1.22642,2.45327,0.11223,0.74457,1.21271,0.80468,0.8165,0.81457,0.49346,0.7275,0.74275,0.71603,0.47355,1.36403,2.54255,0.01086,0.70127,1.4424,0.000290937,0.000290937,0.000290937
64,10571.8,1.23037,2.42931,0.114,0.74675,1.21387,0.81456,0.8128,0.81278,0.4952,0.7487,0.73551,0.71198,0.47492,1.36221,2.54758,0.01142,0.69967,1.447,0.000275469,0.000275469,0.000275469
65,10725.1,1.21777,2.42407,0.11424,0.74406,1.2036,0.80358,0.82054,0.81638,0.49662,0.73193,0.7351,0.7151,0.47924,1.3603,2.53086,0.01121,0.69691,1.44151,0.00026,0.00026,0.00026
66,10877.9,1.22039,2.40581,0.10978,0.74018,1.20671,0.8025,0.82568,0.81765,0.49714,0.73473,0.73712,0.71553,0.47752,1.36257,2.5358,0.01066,0.69657,1.44719,0.000244531,0.000244531,0.000244531
67,11031.2,1.212,2.36338,0.11177,0.73453,1.20427,0.7989,0.81763,0.81121,0.49284,0.72772,0.73833,0.71085,0.47641,1.36537,2.54162,0.01149,0.69643,1.44844,0.000229063,0.000229063,0.000229063
68,11183.9,1.20667,2.38452,0.11401,0.73343,1.2021,0.80684,0.82144,0.80827,0.49246,0.73738,0.74517,0.717,0.47381,1.3711,2.54558,0.01118,0.69199,1.45281,0.000213594,0.000213594,0.000213594
69,11337.1,1.20191,2.36604,0.11092,0.72795,1.19768,0.81096,0.82098,0.81397,0.49285,0.73654,0.74325,0.71613,0.47731,1.37189,2.53491,0.01074,0.69307,1.45561,0.000198125,0.000198125,0.000198125
70,11490.5,1.19338,2.32822,0.1101,0.72102,1.19205,0.80464,0.82246,0.81123,0.49163,0.73787,0.73551,0.70978,0.47346,1.37164,2.53838,0.01147,0.6927,1.45921,0.000182656,0.000182656,0.000182656
71,11662.9,1.11242,1.90085,0.03877,0.63083,1.18558,0.81029,0.82407,0.81186,0.49233,0.7435,0.73148,0.71263,0.47321,1.36648,2.52819,0.00844,0.69573,1.45507,0.000167188,0.000167188,0.000167188
72,11816.3,1.10448,1.88039,0.03578,0.62581,1.18012,0.8079,0.82689,0.81227,0.48994,0.73059,0.74597,0.71466,0.473,1.37525,2.53834,0.0077,0.69438,1.45932,0.000151719,0.000151719,0.000151719
73,11969.2,1.09723,1.85199,0.03414,0.62012,1.1769,0.81372,0.83169,0.81621,0.49083,0.73079,0.74114,0.70841,0.46902,1.37946,2.5557,0.00682,0.69327,1.46634,0.00013625,0.00013625,0.00013625
74,12121.9,1.09204,1.84939,0.03513,0.61696,1.17534,0.82066,0.8277,0.8163,0.49103,0.74025,0.74161,0.71462,0.47094,1.37916,2.55575,0.00637,0.68725,1.46443,0.000120781,0.000120781,0.000120781
75,12273.6,1.08361,1.83199,0.03385,0.61417,1.17359,0.8198,0.82696,0.81162,0.48844,0.73879,0.74155,0.70951,0.46812,1.3831,2.57159,0.00639,0.69111,1.46947,0.000105312,0.000105312,0.000105312
76,12426,1.08241,1.81022,0.03322,0.61171,1.16888,0.81958,0.83092,0.81318,0.48767,0.74155,0.73979,0.70685,0.46686,1.38546,2.56428,0.00592,0.69264,1.47323,8.98437e-05,8.98437e-05,8.98437e-05
77,12576.9,1.07768,1.78976,0.03317,0.61038,1.1661,0.81312,0.82448,0.81155,0.49015,0.74827,0.7339,0.7063,0.46706,1.38656,2.56105,0.00595,0.69057,1.47506,7.4375e-05,7.4375e-05,7.4375e-05
78,12729.4,1.07422,1.76576,0.03194,0.60564,1.16244,0.82054,0.82327,0.81153,0.48977,0.74555,0.73898,0.70967,0.46978,1.38748,2.55817,0.00583,0.68742,1.47754,5.89062e-05,5.89062e-05,5.89062e-05
79,12881.2,1.06754,1.76979,0.03308,0.60322,1.16169,0.82198,0.8197,0.81033,0.48845,0.74839,0.73911,0.70884,0.4684,1.39103,2.57107,0.00575,0.68831,1.48029,4.34375e-05,4.34375e-05,4.34375e-05
80,13033.7,1.05821,1.74849,0.03197,0.60062,1.1559,0.81858,0.82071,0.81266,0.48911,0.74214,0.73576,0.70579,0.46834,1.38963,2.57237,0.006,0.68865,1.48039,2.79687e-05,2.79687e-05,2.79687e-05
